Emissor,Certificado,Carga Horária (h),Conclusão,Arquivo
Escola Conquer,Inteligência Emocional 2.0,15,25/04/2022,20220425_Inteligencia_Emocional_2.pdf
Alura,Doctrine ORM: Acesse o banco com mapeamento objeto-relacional,8,07/02/2022,20220207_Doctrine_ORM.pdf
Escola Conquer,Produtividade e Gestão do Tempo,15,01/02/2022,20220131_Produtividade_e_Gestao_do_Tempo.pdf
Alura,PHP e PDO: Trabalhando com banco de dados,8,31/01/2022,20220131_PHP_e_PDO_trabalhando_com_banco_de_dados.pdf
Alura,E-mail Marketing: da segmentação ao AB,8,21/01/2022,20220121_E-mail_Marketing_da_Segmentacao_ao_AB.pdf
Alura,SEO Wordpress: Otimize o ranqueamento do seu site,4,20/01/2022,20220120_Wordpress_SEO.pdf
Alura,Plugin no Wordpress: Widget shortcode e configurações,8,19/01/2022,20220120_Wordpress_plugin.pdf
PUCPR,Estratégi.CO,2,03/02/2021,20210203_PUCPR_Digital-Estrategi.CO.pdf
PUCPR,Reset,2,03/02/2021,20210203_PUCPR_Digital-Reset.pdf
Gama Academy,Acelera Atos,131,20/12/2021,20211220_Acelera_Atos.pdf
Rocketseat,DoWhile,16,02/12/2021,20211202_Rockseat_DoWhile.pdf
Treinaweb,TreinaWeb Multi-stack #2,12,17/10/2021,20211020_Multi_Stack_2_edicao.pdf
Tera,Digital Marketing,8,19/10/2021,20211019_digital_marketing.pdf
FM2S,Kaizen - Processo de Melhoria Contínua,12,04/10/2021,20211004_Kaizen-Processo_de_Melhoria_Continua.pdf
Digital Innovation One,Bootcamp everis New Talents – Java,88,24/09/2021,20210924_Bootcamp_Everis_New_Talents-Java.pdf
Digital Innovation One,Santander Bootcamp | Fullstack Developer,125,14/09/2021,20210914_Santander_Bootcamp_Fullstack_Developer.pdf
Gama Academy,Desenvolvimento em ecommerce VTEX IO,100,22/08/2021,20210903_Hiring_Coders.pdf
Escola Conquer,Comunicação e Oratória,15,31/08/2021,20210831__COMUNICACAO_E_ORATORIA.pdf
PUCRS,Certificação em Liderança Capacidade de Aprender e Resiliência,4,26/08/2021,20210826_Lideranca_capacidade_de_aprender_e_resiliencia.pdf
Gama Academy,Desenvolvimento Full Stack,120,25/07/2021,20210810_Bootcamp_Full_Stack_Hiring_Coders.pdf
AWS,AWS Foundations: Getting Started with the AWS Cloud Essentials,1,01/08/2021,20210801_AWS_Foundation-Getting_Started_with_the_AWS_Cloud_Essentials.pdf
MDM,Gerenciamento de dispositivos móveis na área da saúde,2,29/07/2021,20210729_Gerenciamento_de_dispositivos_moveis_na_area_da_saude.pdf
IFRS,Produção de Vídeos usando OBS Studio e Kdenlive,20,05/07/2021,20210705_Producao_de_Vídeos_usando_OBS_Studio_e_Kdenlive.pdf
IFRS,Inkscape,40,05/07/2021,20210705_Inkscape.pdf
Digital Innovation One,Bootcamp SPTech Desenvolvimento Back-end,73,31/05/2021,20210531_Bootcamp_SPTech_Desenvolvimento_Back-end.pdf
Fundação Bradesco,Lei Geral de Proteção de Dados - LGPD,2,10/05/2021,20210510_Lei_Geral_de_Protecao_de_Dados_LGPD.pdf
CertiProf,Cyber Security Foundation,0,30/04/2021,20210430_Cyber Security_Foundation.pdf
